name,affiliation
Andrew Shuman,MICROSOFT
Andrew Sinclair,MICROSOFT
Andrew Swan,UNIVERSITY OF CALIFORNIA - BERKELEY
Andrew Thiessen,NTIA
Andrew Thurber,CISCO SYSTEMS INC
Andrew Timms,NORTEL NETWORKS LIMITED
Andrew Valencia,CISCO SYSTEMS INC
Andrew Vernon,BELLSOUTH
Andrew Walther,AEROSPACE CORPORATION
Andrew Watson,OBJECT MANAGEMENT GROUP
Andrew Wu,COSINE COMMUNICATIONS
Andrew Zhu,HEWLETT-PACKARD COMPANY
Andrew Zmolek,AVAYA
Andrey Bobyshev,FERMILAB
Andrey Khurri,HELSINKI INSTITUTE FOR INFORMATION TECHNOLOGY
Andrey Labunets,FACEBOOK
Andrey Norkin,NETFLIX INC
Andrey Robachevsky,RIPE NCC
Andrzej Bartosiewicz,NASK
Andy Bennett,PROCESS SOFTWARE CORPORATION
Andy Davidson,TEKTRONIX INC.
Andy Davis,AKAMAI TECHNOLOGIES
Andy Hall,PACKET DESIGN
Andy Heffernan,JUNIPER NETWORKS
Andy Li,NETWORK
Andy Nicholson,MICROSOFT
Andy Norman,HEWLETT-PACKARD COMPANY
Andy Nourse,FTP SOFTWARE
Andy Ozment,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
Andy Pettica,CISCO SYSTEMS INC
Andy Phung,SSC SAN DIEGO
Andy Radle,HEWLETT-PACKARD COMPANY
Ang Li,UNIVERSITY OF CALIFORNIA - IRVINE
Angela Kooyman,CISCO SYSTEMS INC
Angelo Bean,NORTEL NETWORKS LIMITED
Angelo Calabrese,STERLING SOFTWARE
Angus Lees,GOOGLE
Angus Robertson,SPIRENT COMMUNICATIONS
Anh Le,NETCRACKER
Anil Doradla,SBC TECHNOLOGIES
Anil Gopinath,SPRINT CORPORATION
Anil Kumar Reddy Sirigiri,HEWLETT-PACKARD COMPANY
Anil Prasad,MCI COMMUNICATIONS
Anil Singhal,FRONTIER SOFTWARE
Anindo Banerjea,UNIVERSITY OF TORONTO
Anindya Basu,LUCENT TECHNOLOGIES
Aniruddha Bhalekar,UNIVERSITY OF MARYLAND
Anish Bhimani,BELL COMMUNICATIONS
Anita Freeman,CISCO SYSTEMS INC
Anita Marsh,TELLABS
Anita Wang,CISCO SYSTEMS INC
Anix Anbiah,CISCO SYSTEMS INC
Anjali Bhatnagar,TELENOR
Anke Dosedal,CISCO SYSTEMS INC
Ann Bednarz,NETWORK WORLD
Ann Cooper,UNIVERSITY OF SOUTHERN CALIFORNIA
Ann Demirtjis,MICROSOFT
Ann Jein,ROSTELECOM
Ann Marie Plubell,EROLS
Ann Tso,UUNET TECHNOLOGIES
Anna Cui,FUJITSU LIMITED
Anna Filinova,"CZ.NIC, Z.S.P.O."
Anna Lee,CISCO SYSTEMS INC
Anna Makarowska,CCNS S.A.
Anna Sudobina,DEUTSCHE TELEKOM AG
Annabel Avelino,QUALCOMM INC
Anne Adams,UNIVERSITY COLLEGE LONDON
Anne Anderson,"SUN MICROSYSTEMS, INC."
Anne Armenakis,NORTEL NETWORKS LIMITED
Anne Brown,NORTEL NETWORKS LIMITED
Anne Child,WRQ INC.
Anne Gibbens,TELIA AB
Anne Gibbons,TELIA AB
Anne Hopkins,MICROSOFT
Anne Huang,LUCENT TECHNOLOGIES
Anne Hutton,UNIVERSITY OF SOUTHERN CALIFORNIA
Anne Owen,NORTEL NETWORKS LIMITED
Anne Philpott,NORTEL NETWORKS LIMITED
Anne Vincent,ORANGE SA
Anne Wilson,CISCO SYSTEMS INC
Anne Winiewicz,BAY NETWORKS
Anne-Marie Eklund-Lowinder,NIC-SE AB
Annette Labossiere,NORTEL NETWORKS LIMITED
Anni Huynh,LUCENT TECHNOLOGIES
Annie Floch,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE
Annie Foong,INTEL CORPORATION
Annie Lee,POSTECH
Annika Jonsson,ERICSSON AB
Anselm Martin,BRITISH TELECOMMUNICATIONS PLC
Ansgar Hockmann-Stolle,UNIVERSITY ERLANGEN-NUREMBERG
Anshul Agrawal,ALCATEL
Anthony Alles,BENCHMARK CAPITAL
Anthony Ballardie,GLOBAL-MIX LTD
Anthony Bono,"TELFORD TOOLS, INC."
Anthony Caggiano,LUCENT TECHNOLOGIES
Anthony Cheng,NORTEL NETWORKS LIMITED
Anthony Coombs,BAY NETWORKS
Anthony Daniel,INFORMIX SOFTWARE
Anthony Gallo,IBM
Anthony Gizzi,WORLDCOM
Anthony Hart,AVICI SYSTEMS
Anthony Hilario,SMART COMMUNICATIONS PH
Anthony Holmes,BRITISH TELECOMMUNICATIONS PLC
Anthony Keane,INSTITUTE OF TECHNOLOGY BLANCHARDSTOWN
Anthony Macdonald,NORTEL NETWORKS LIMITED
Anthony Mcauley,TELCORDIA TECHNOLOGIES
Anthony Perry,CISCO SYSTEMS INC
Anthony Schoofs,KONINKLIJKE PHILIPS ELECTRONICS
Anthony Skjellum,MISSISSIPPI STATE UNIVERSITY
Anthony Topper,NETWORK APPLIANCE
Anthony Wiles,ETSI - EUROPEAN TELECOMMUNICATIONS STANDARDS INSTITUTE
Anthony Wiley,HEWLETT-PACKARD COMPANY
Antoine Camerlo,OVERLAP
Anton Holleman,NOMINUM INC
Anton Hulida,MOBILE TELESYSTEMS JLLC
Anton Martensson,ERICSSON AB
Antonela Paraschiv,NORTEL NETWORKS LIMITED
Antonino Mione,RSA SECURITY LLC
Antonio Bonito,CNR-INSTITUTO CNUCE
Antonio De La Oliva,UNIVERSITY CARLOS III OF MADRID
Antonio De Simone,JOHN HOPKINS UNIVERSITY
Antonio Desimone,U.S. DEPARTMENT OF DEFENSE
Antonio Esposito,TELECOM ITALIA S.P.A
Antonio Kin-Foo,AFNIC
Antonio Magnaghi,FUJITSU LIMITED
Antonio Mischo,ERICSSON AB
Antonio Moreiras,BRAZILIAN NETWORK INFORMATION CENTER - NIC.BR
Antonio Rodriguez-Moral,LUCENT TECHNOLOGIES
Antonio Roque,ERICSSON AB
Antonio Ruzzelli,UNIVERSITY COLLEGE DUBLIN
Antoniy Ganchev,CONCORDIA UNIVERSITY
Antony Barber,UUNET TECHNOLOGIES
